numero_registro;denominacion;plazas_autorizadas_numero;plazas_descripcion;tipologia;subtipo;sector;municipio_codigo;municipio_nombre;direccion_via_tipo;direccion_via_codigo;direccion_via_nombre;direccion_portal;direccion_coor_x;direccion_coor_y;direccion_codigo_postal;contacto_telefono;entidad_denominacion;entidad_cif;entidad_naturaleza
C0046;HOGAR INFANTIL LUIS AMIGO, PISO TUTELADO;6;Plazas totales;CENTROS RESIDENCIALES;PISOS TUTELADOS;Infancia y Adolescencia;079;Madrid;CALLE;00949;del Cabo Suceso Terrero;4;437992;4472041;28019;914727474;HERMANAS TERCIARIAS CAPUCHINAS-PROVINCIA DE NAZARET;R2802221H;PRIVADA SIN ÁNIMO DE LUCRO
C0047;HOGAR JOSE DE PASAMONTE, PISO TUTELADO;9;Plazas totales;CENTROS RESIDENCIALES;PISOS TUTELADOS;Infancia y Adolescencia;079;Madrid;CALLE;09336;del Corregidor José de Pasamonte;29;445079;4473591;28030;91 439 50 13;ASOCIACION NACIONAL DE HOGARES PARA NIÑOS PRIVADOS DE AMBIENTE FAMILIAR NUEVO FUTURO;G28309862;PRIVADA SIN ÁNIMO DE LUCRO
C0048;HOGAR MIGUEL HERNANDEZ, PISO TUTELADO;9;Plazas totales;CENTROS RESIDENCIALES;PISOS TUTELADOS;Infancia y Adolescencia;079;Madrid;AVDA;11264;de Miguel Hernández;118;444771;4470071;28018;917774277;ASOCIACION NACIONAL DE HOGARES PARA NIÑOS PRIVADOS DE AMBIENTE FAMILIAR NUEVO FUTURO;G28309862;PRIVADA SIN ÁNIMO DE LUCRO
C0049;HOGAR AVENIDA DE AMERICA, PISO TUTELADO;9;Plazas totales;CENTROS RESIDENCIALES;PISOS TUTELADOS;Infancia y Adolescencia;079;Madrid;AVDA;00312;de América;47;443355;4477013;28002;91 415 87 45;ASOCIACION NACIONAL DE HOGARES PARA NIÑOS PRIVADOS DE AMBIENTE FAMILIAR NUEVO FUTURO;G28309862;PRIVADA SIN ÁNIMO DE LUCRO
C0050;HOGAR ARROYO LAS PILILLAS;9;Plazas totales;CENTROS RESIDENCIALES;PISOS TUTELADOS;Infancia y Adolescencia;079;Madrid;CALLE;00612;del Arroyo de las Pilillas;8;444702;4473131;28030;914395030;ASOCIACION NACIONAL DE HOGARES PARA NIÑOS PRIVADOS DE AMBIENTE FAMILIAR NUEVO FUTURO;G28309862;PRIVADA SIN ÁNIMO DE LUCRO
C0051;HOGAR IBIZA, PISO TUTELADO;9;Plazas totales;CENTROS RESIDENCIALES;PISOS TUTELADOS;Infancia y Adolescencia;079;Madrid;CALLE;02844;de Ibiza;5;442469;4474431;28009;915041024;ASOCIACION NACIONAL DE HOGARES PARA NIÑOS PRIVADOS DE AMBIENTE FAMILIAR NUEVO FUTURO;G28309862;PRIVADA SIN ÁNIMO DE LUCRO
C0052;HOGAR GABRIEL USERA, PISO TUTELADO;9;Plazas totales;CENTROS RESIDENCIALES;PISOS TUTELADOS;Infancia y Adolescencia;079;Madrid;CALLE;02425;de Gabriel Usera;36;439840;4470695;28026;914752743;ASOCIACION NACIONAL DE HOGARES PARA NIÑOS PRIVADOS DE AMBIENTE FAMILIAR NUEVO FUTURO;G28309862;PRIVADA SIN ÁNIMO DE LUCRO
C0068;LAS ROSAS DEL CAMINO, RESIDENCIA DE PERSONAS MAYORES;30;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;Personas mayores;096;Navalcarnero;CALLE;A0136;de San Roque;77;413978;4459754;28600;918 111 001;"ASOCIACION ""LAS ROSAS DEL CAMINO""";G45389855;PRIVADA SIN ÁNIMO DE LUCRO
C0071;INSTITUTO PSICO PEDIATRIA DR. QUINTERO LUMBRERAS, CENTRO OCUPACIONAL;80;Capacidad máxima simultánea;CENTROS OCUPACIONALES;CENTROS OCUPACIONALES GENÉRICOS;Personas con discapacidad intelectual;079;Madrid;CTRA;01389;M-607 Colmenar Viejo;13,6;441761;4485895;28049;91 734 51 38;ASOCIACION DE PADRES Y FAMILIARES DE MINUSVALIDOS PSIQUICOS Y SENSORIALES INTEGRADOS EN EL INSTITUTO DE PSICO-PEDIATRIA DR. QUINTERO LUMBRERAS;G28812022;PRIVADA SIN ÁNIMO DE LUCRO
C0074;SANTA FILIPINA, RESIDENCIA DE PERSONAS MAYORES;38;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;Personas mayores;079;Madrid;AVDA;00919;de Burgos;4;442684;4480112;28036;91 767 22 76;FUNDACION ASCE (ANTIGUAS ALUMNAS DEL SAGRADO CORAZON DE ESPAÑA);G28451805;PRIVADA SIN ÁNIMO DE LUCRO
C0082;LA AURORA, RESIDENCIA DE PERSONAS MAYORES;177;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES MIXTA;Personas mayores;096;Navalcarnero;PASEO;;de Don Miguel Ribagorda Gómez;1;;;28600;918111164;SUCESORES DE GANCEDO RODRIGUEZ, S.A.;A28029692;PRIVADA CON ÁNIMO DE LUCRO
C0087;RSDCIA. SACERDOTAL SAN PEDRO, RESIDENCIA DE PERSONAS MAYORES;95;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES MIXTA;Personas mayores;079;Madrid;CALLE;05386;de San Bernardo;101;440154;4475831;28015;914474200 / 645459101;ASOCIACION CONGREGACION DE SAN PEDRO APOSTOL DE PRESBITEROS SECULARES NATURALES DE MADRID;R2800005G;PRIVADA SIN ÁNIMO DE LUCRO
C0088;EL JARDIN LOPEZ DE HOYOS , RESIDENCIA DE PERSONAS MAYORES;25;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES MIXTA;Personas mayores;079;Madrid;CALLE;03477;de López de Hoyos;384;444133;4479110;28043;91 300 07 84;ALONSO MARTINEZ, ALFONSO;;PRIVADA CON ÁNIMO DE LUCRO
C0094;SANTÍSIMA TRINIDAD;24;Plazas totales;CENTROS DE ACOGIDA;CENTROS DE MUJERES MALTRATADAS;Mujer;RESERVADO;RESERVADO;RESERVADO;RESERVADO;RESERVADO;RESERVADO;RESERVADO;RESERVADO;RESERVADO;RESERVADO;FUNDACION MARIANA ALLSOPP;G87835351;PRIVADA SIN ÁNIMO DE LUCRO
C0097;PISO TUTELADO HOGAR SANTA CLARA;12;Plazas totales;CENTROS RESIDENCIALES;PISOS TUTELADOS;Familia;079;Madrid;CALLE;05619;de Santa Clara;8;439698;4474323;28013;915481418;ASOCIACION NACIONAL DE HOGARES PARA NIÑOS PRIVADOS DE AMBIENTE FAMILIAR NUEVO FUTURO;G28309862;PRIVADA SIN ÁNIMO DE LUCRO
C0099;ISLA TARAY, RESIDENCIA PERSONAS MAYORES;214;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;Personas mayores;091;Morata de Tajuña;CTRA;A0143;M-302;3;463794;4453249;28530;91 873 14 56 / 13 28;ASOCIACION EDAD DORADA MENSAJEROS DE LA PAZ;G81594962;PRIVADA SIN ÁNIMO DE LUCRO
C0103;LAS AVES;50;Capacidad máxima simultánea;CENTROS DE DÍA;HOGARES Y CLUBES;Personas mayores;013;Aranjuez;CALLE;A0303;Zorzales;17;447801;4431146;28300;918916764;AYUNTAMIENTO DE ARANJUEZ;P2801300A;PÚBLICA
C0112;LA ATALAYA, RESIDENCIA DE PERSONAS MAYORES;60;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;Personas mayores;115;Pozuelo de Alarcón;CMNO;A0025;Alcorcón;2;430938;4476100;28223;91 352 14 45;CASA COMUNIDAD MISIONERAS DE LA INMACULADA CONCEPCION;R2800985J;PRIVADA SIN ÁNIMO DE LUCRO
C0121;MIRASIERRA CERCEDILLA, RESIDENCIA PERSONAS MAYORES;46;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES MIXTA;Personas mayores;038;Cercedilla;CTRA;00611;Vieja de los Molinos;19;;;28470;918520314;MIRARRESI SL;B88158605;PRIVADA CON ÁNIMO DE LUCRO
C0124;DOMUSVI REAL DELEITE, RESIDENCIA DE PERSONAS MAYORES;268;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;Personas mayores;013;Aranjuez;PASEO;A0069;de Deleite;3;447992;4430678;28300;918910236;AZUL CENTROS RESIDENCIALES SAU;A81827305;PRIVADA CON ÁNIMO DE LUCRO
C0135;LAS NAVES, CENTRO DE DIA INFANTIL Y JUVENIL;195;Capacidad máxima simultánea;CENTROS DE DÍA;CENTROS DE DÍA: OTROS;Infancia y Adolescencia;005;Alcalá de Henares;CALLE;A0632;Río Tajuña;2;469238;4479918;28803;918816939;LAS NAVES, CENTRO DE FORMACIÓN Y ATENCIÓN SOCIOEDUCATIVA;G79916649;PRIVADA SIN ÁNIMO DE LUCRO
C0136;MATER ADMIRABILIS, RESIDENCIA;55;Plazas totales;CENTROS RESIDENCIALES;CENTROS RESIDENCIALES: OTROS;Familia;RESERVADO;RESERVADO;RESERVADO;RESERVADO;RESERVADO;RESERVADO;RESERVADO;RESERVADO;RESERVADO;RESERVADO;CASA COMUNIDAD ESCLAVAS DE LA VIRGEN DOLOROSA;R2800766D;PRIVADA SIN ÁNIMO DE LUCRO
C0137;CENTRO OCUPACIONAL FUNDACION CEDEL;34;Capacidad máxima simultánea;CENTROS OCUPACIONALES;CENTROS OCUPACIONALES GENÉRICOS;Personas con discapacidad intelectual;127;Rozas de Madrid, Las;CALLE;02395;Jaraíz;46;423660;4489691;28290;91 6301012;FUNDACIÓN CEDEL;G84721620;PRIVADA SIN ÁNIMO DE LUCRO
C0138;NTRA. SRA. DEL PILAR, RESIDENCIA DE PERSONAS MAYORES;55;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;Personas mayores;079;Madrid;CALLE;02018;de la Esfinge;34;448266;4477240;28022;917411762;CASA COMUNIDAD HERMANAS MERCEDARIAS DE LA CARIDAD;R2800377J;PRIVADA SIN ÁNIMO DE LUCRO
C0140;NUESTRA SEÑORA DE MONTSERRAT, RESIDENCIA DE PERSONAS MAYORES;97;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES MIXTA;Personas mayores;079;Madrid;CALLE;05386;de San Bernardo;79;440069;4475464;28015;914 471 250;FUNDACION NUESTRA SEÑORA DE MONTSERRAT;G78025533;PRIVADA SIN ÁNIMO DE LUCRO
C0142;SAGRADA FAMILIA ULISES, RESIDENCIA PERSONAS MAYORES;39;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;Personas mayores;079;Madrid;CALLE;06162;de Ulises;60;444820;4478832;28043;913885183/913884119;FUNDACION SAGRADA FAMILIA Y SANTA ISABEL;G78473741;PRIVADA SIN ÁNIMO DE LUCRO
C0145;NUESTRA SEÑORA DEL SAGRARIO, RESIDENCIA DE PERSONAS MAYORES;80;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES MIXTA;Personas mayores;089;Moraleja de Enmedio;AVDA;00194;de Arroyomolinos;3;426508;4456935;28950;916094009 / 686550921;RESIDENCIA NUESTRA SEÑORA DEL SAGRARIO, S.L.;B80479405;PRIVADA CON ÁNIMO DE LUCRO
C0148;CASASOLAR SANTO DUQUE DE GANDIA, RESIDENCIA DE PERSONAS MAYORES;180;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;Personas mayores;079;Madrid;CALLE;09484;de Aniceto Marinas;114;437708;4475987;28008;915416297;REAL ASOCIACION DE HIDALGOS DE ESPAÑA;G28493211;PRIVADA SIN ÁNIMO DE LUCRO
C0151;CENTRO DE RESIDENCIA GERIÁTRICA SANTA MATILDE, RESIDENCIA DE PERSONAS MAYORES;77;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;Personas mayores;079;Madrid;CALLE;05656;de Santa Matilde;7;439955;4477952;28039;914508282;ALONSO QUIJANO, S.L.;B78666393;PRIVADA CON ÁNIMO DE LUCRO
C0153;SANTISIMA TRINIDAD, RESIDENCIA PERSONAS MAYORES;56;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES MIXTA;Personas mayores;079;Madrid;AVDA;10179;de la Osa Mayor;8;434314;4479263;28023;913572268;CASA COMUNIDAD HERMANAS JOSEFINAS DE LA SANTISIMA TRINIDAD;R2800344J;PRIVADA SIN ÁNIMO DE LUCRO
C0155;HERMANDAD DEL REFUGIO, CENTRO DE DIA COMEDOR;90;Capacidad máxima simultánea;CENTROS DE DÍA;CENTROS DE DÍA: OTROS;Personas sin hogar;079;Madrid;CALLE;01517;de la Corredera Baja de San Pablo;16;440323;4474907;28004;91 522 00 70;ASOCIACION SANTA PONTIFICIA Y REAL HERMANDAD DEL REFUGIO Y PIEDAD DE MADRID;G28843118;PRIVADA SIN ÁNIMO DE LUCRO
C0159;SAN JUAN BAUTISTA (COLMENAR DE OREJA), RESIDENCIA PERSONAS MAYORES;99;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES MIXTA;Personas mayores;043;Colmenar de Oreja;CALLE;A0149;Madrid;23;466514;4440474;28380;91 894 33 07;CARITAS DIOCESANA DE GETAFE;R2800004J;PRIVADA SIN ÁNIMO DE LUCRO
C0160;SANTA MARIA DEL SILENCIO, RESIDENCIA DE PERSONAS MAYORES;130;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES MIXTA;Personas mayores;050;Cubas de la Sagra;CALLE;00091;Sagrado Corazón;25;428454;4449244;28978;91 814 23 00;CARITAS DIOCESANA DE GETAFE;R2800004J;PRIVADA SIN ÁNIMO DE LUCRO
C0161;LAS PRADERAS, RESIDENCIA DE PERSONAS MAYORES;99;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;Personas mayores;115;Pozuelo de Alarcón;CTRA;A0350;Humera;69;432180;4476602;28224;673394017 / 913520082;PEREZ AGHA, S.L.;B84457308;PRIVADA CON ÁNIMO DE LUCRO
C0167;JESUS NAZARENO Y LOS DOLORES, RESIDENCIA DE PERSONAS MAYORES;95;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES MIXTA;Personas mayores;079;Madrid;CALLE;03604;de las Magnolias;105;441583;4480626;28029;913155545;ASOCIACION RELIGIOSA HOSPITAL DE LAS HERMANAS HOSPITALARIAS DE JESUS NAZARENO Y DE LOS DOLORES;R2800921E;PRIVADA SIN ÁNIMO DE LUCRO
C0168;APAM CENTRO DE REHABILITACION;55;Capacidad máxima simultánea;CENTROS DE REHABILITACIÓN;CENTROS DE RECUPERACIÓN;Personas con discapacidad física;079;Madrid;CALLE;03009;de Jaén;32;440617;4477969;28020;915333722;"ASOCIACIÓN DE PERSONAS CON DIVERSIDAD FUNCIONAL, FAMILIAS Y AMIGOS ""APAM""";G28500999;PRIVADA SIN ÁNIMO DE LUCRO
C0169;RESIDENCIA FUNDACIÓN ALAS MADRID;72;Plazas totales;CENTROS RESIDENCIALES;OTRAS RESIDENCIAS;Personas con discapacidad intelectual;079;Madrid;CALLE;01960;de la Encomienda de Palacios;235;446082;4472089;28030;91 772 43 00;FUNDACION ALAS MADRID;G79466553;PRIVADA SIN ÁNIMO DE LUCRO
C0176;CENTRO OCUPACIONAL FUNDACIÓN ALAS MADRID;165;Capacidad máxima simultánea;CENTROS OCUPACIONALES;CENTROS OCUPACIONALES GENÉRICOS;Personas con discapacidad intelectual;079;Madrid;CALLE;01960;de la Encomienda de Palacios;235;446082;4472089;28030;917724300;FUNDACION ALAS MADRID;G79466553;PRIVADA SIN ÁNIMO DE LUCRO
C0178;LA JAROSA, RESIDENCIA PERSONAS MAYORES;50;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES MIXTA;Personas mayores;068;Guadarrama;PASEO;A0005;de la Alameda;7;407600;4503225;28440;918 540 849;RESIDENCIAS LA JAROSA Y VISTASIERRA, S.L.;B81338303;PRIVADA CON ÁNIMO DE LUCRO
C0183;ALBERGUE SAN MARTIN DE PORRES;62;Plazas totales;CENTROS DE ACOGIDA;ALBERGUES;Personas sin hogar;079;Madrid;CALLE;08995;Vía Carpetana;47;437728;4472300;28019;91 471 72 62;FUNDACION BENEFICO PARTICULAR SAN MARTIN DE PORRES;G28763712;PRIVADA SIN ÁNIMO DE LUCRO
C0185;SANTA TERESA JORNET, RESIDENCIA DE PERSONAS MAYORES;202;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES MIXTA;Personas mayores;079;Madrid;CALLE;01862;de la Duquesa de Tamames;8;436335;4469391;28044;915085849 / 915089108;CASA COMUNIDAD DE LAS HERMANITAS DE LOS ANCIANOS DESAMPARADOS;R2800986H;PRIVADA SIN ÁNIMO DE LUCRO
C0189;ACOPE, PISO DE ACOGIDA;6;Plazas totales;CENTROS RESIDENCIALES;PISOS TUTELADOS;Presos y ex reclusos;RESERVADO;RESERVADO;RESERVADO;RESERVADO;RESERVADO;RESERVADO;RESERVADO;RESERVADO;RESERVADO;RESERVADO;ASOCIACION DE COLABORADORES CON LAS PRESAS (ACOPE);G78426996;PRIVADA SIN ÁNIMO DE LUCRO
C0191;AFANIAS CANILLEJAS, CENTRO OCUPACIONAL;143;Capacidad máxima simultánea;CENTROS OCUPACIONALES;CENTROS OCUPACIONALES GENÉRICOS;Personas con discapacidad intelectual;079;Madrid;AVDA;07995;de Canillejas a Vicálvaro;28;447842;4476761;28022;91 741 57 00;AFANIAS, ASOCIACION PRO-PERSONAS CON DISCAPACIDAD INTELECTUAL;G28303790;PRIVADA SIN ÁNIMO DE LUCRO
C0193;CENTRO OCUPACIONAL PRIMER PASO;37;Capacidad máxima simultánea;CENTROS OCUPACIONALES;CENTROS OCUPACIONALES GENÉRICOS;Personas con discapacidad intelectual;079;Madrid;CALLE;10601;de la Tapia de Casariego;13;434326;4479716;28023;911124983;ASOCIACION PRO DISCAPACITADOS DE ARAVACA;G28732386;PRIVADA SIN ÁNIMO DE LUCRO
C0198;ALBERGUE DE SAN JUAN DE DIOS;140;Plazas totales;CENTROS DE ACOGIDA;ALBERGUES;Personas sin hogar;079;Madrid;CALLE;02770;de Herreros de Tejada;3;442205;4478318;28016;91 344 00 20;CASA COMUNIDAD ORDEN HOSPITALARIA DE SAN JUAN DE DIOS-ALBERGUE DE SAN JUAN DE DIOS;R7900052G;PRIVADA SIN ÁNIMO DE LUCRO
C0203;SAN FRANCISCO DE PAULA, RESIDENCIA DE PERSONAS MAYORES;75;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES MIXTA;Personas mayores;079;Madrid;CALLE;09794;de Valdebernardo;29;446344;4472507;28030;917724810 / 913710158;FUNDACION CATALINA LABOURE;G78577103;PRIVADA SIN ÁNIMO DE LUCRO
C0206;AFANDICE, CENTRO DE REHABILITACIÓN;50;Capacidad máxima simultánea;CENTROS DE REHABILITACIÓN;CENTROS DE ATENCIÓN;Infancia y Adolescencia;079;Madrid;CALLE;03603;de la Magnesia;10;440060;4466117;28021;91 795 67 19;FUNDACION AFANDICE;G85732154;PRIVADA SIN ÁNIMO DE LUCRO
C0207;SANTA TERESA Y SAN JOSE, RESIDENCIA DE PERSONAS MAYORES;24;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES MIXTA;Personas mayores;079;Madrid;PLAZA;02024;de España;14;;;28013;915412996;PARROQUIA SANTA TERESA Y SAN JOSE;R2800488E;PRIVADA SIN ÁNIMO DE LUCRO
C0211;FUENTE DE SALUD, RESIDENCIA DE PERSONAS MAYORES;34;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES MIXTA;Personas mayores;090;Moralzarzal;CALLE;A0076;de España;3;418035;4503173;28411;91 857 61 57;ROSSCANA DE SALUD SL;B87907408;PRIVADA CON ÁNIMO DE LUCRO
C0219;MONTESALUD, RESIDENCIA DE PERSONAS MAYORES;150;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;Personas mayores;127;Rozas de Madrid, Las;CALLE;00016;Azor;2;420185;4487567;28230;916369900.;MONTESALUD, S.A.;A78382132;PRIVADA CON ÁNIMO DE LUCRO
C0221;VIRGEN DE LA ESPERANZA, RESIDENCIA DE PERSONAS MAYORES;72;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES MIXTA;Personas mayores;134;San Sebastián de los Reyes;CALLE;01500;de la Iglesia;1;446973;4488655;28701;91 651 55 11;ASOCIACION RELIGIOSA HOSPITAL DE LAS HERMANAS HOSPITALARIAS DE JESUS NAZARENO Y DE LOS DOLORES;R2800921E;PRIVADA SIN ÁNIMO DE LUCRO
C0224;LA PURISIMA CONCEPCION, RESIDENCIA DE PERSONAS MAYORES;156;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES MIXTA;Personas mayores;079;Madrid;AVDA;01357;de la Ciudad de Barcelona;85;442880;4472433;28007;91 551 78 44;FUNDACION CATALINA SUAREZ;G28815785;PRIVADA SIN ÁNIMO DE LUCRO
C0225;MANUEL HERRANZ, RESIDENCIA DE PERSONAS MAYORES;84;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;Personas mayores;115;Pozuelo de Alarcón;CALLE;A0303;García Martín;25;432517;4477791;28224;91 352 19 45;CASA COMUNIDAD ESCLAVAS DE LA VIRGEN DOLOROSA;R2800766D;PRIVADA SIN ÁNIMO DE LUCRO
C0227;IMBEA, RESIDENCIA GERIÁTRICA;30;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;Personas mayores;079;Madrid;CALLE;09061;de Menéndez Pidal;25;442229;4479361;28036;91 359 56 00;MOREJON, S.A.;A28134542;PRIVADA CON ÁNIMO DE LUCRO
C0229;SANTA MARIA DEL MONTE CARMELO, RESIDENCIA DE PERSONAS MAYORES;99;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES MIXTA;Personas mayores;079;Madrid;CALLE;00676;de Ayala;35;442041;4475468;28001;91 435 16 60;CASA COMUNIDAD DE LOS PADRES CARMELITAS ORDEN DEL CARMEN;R2800142H;PRIVADA SIN ÁNIMO DE LUCRO
C0230;LAS JARAS, RESIDENCIA DE MINUSVALIDOS;48;Plazas totales;CENTROS RESIDENCIALES;OTRAS RESIDENCIAS;Personas con discapacidad intelectual;080;Majadahonda;CTRA;01254;M-516 (Boadilla);98;425557;4478802;28220;91 638 38 93;ASOCIACION DE PADRES LAS JARAS;G28696441;PRIVADA SIN ÁNIMO DE LUCRO
C0231;LAS JARAS, CENTRO OCUPACIONAL;63;Capacidad máxima simultánea;CENTROS OCUPACIONALES;CENTROS OCUPACIONALES GENÉRICOS;Personas con discapacidad intelectual;080;Majadahonda;CTRA;01254;M-516 (Boadilla);98;425557;4478802;28220;91 638 38 93;ASOCIACION DE PADRES LAS JARAS;G28696441;PRIVADA SIN ÁNIMO DE LUCRO
